,sentence
10061," If we attack his camp and fail and Chunyu Qiong should be caught, we shall all be captured too."
10062,"  Guo Tu said,	Cao Cao will be too intent on the destruction of the grain to think of leaving a guard."
10063, I entreat you to attack his camp.
10064,"  So Yuan Shao sent five thousand soldiers under Zhang He and Gao Lan to attack Cao Cao's camp, and he sent ten thousand with Jiang Qi to go to recover the grain store."
10065,"  Now after overcoming Chunyu Qiong, Cao Cao's troops dressed themselves in the armor and clothing of the defeated soldiers and put out their emblems, thus posing as defeated force running back to their own headquarters."
10066," And when they happened upon Jiang Qi's rescue body, they said they had been beaten at Wuchao and were retreating."
10067, So Cao Cao's troops were suffered to pass without molestation while Jiang Qi hastened on.
10068," But soon Jiang Qi came to Zhang Liao and Xu Chu who cried out,	Stop!"
10069,"  And before Jiang Qi could make any opposition, Zhang Liao had cut him down."
10070," Soon his force were killed or dispersed, and the victors sent false messengers to Yuan Shao's camp to say that Jiang Qi had attacked and driven away the attackers of the granaries."
10071, So no more relief were sent that way.
10072," However, Yuan Shao sent reinforcements to Guandu."
10073,"  In due course, the Yuan Shao's force came down upon Cao Cao's camp at Guandu, and the defenders Xiahou Dun, Cao Ren, and Cao Hong at once came out and fought them on three sides so that they were worsted."
10074," By the time reinforcements arrived, Cao Cao's army, returning from the raid, had also come, and Yuan Shao's army were attacked in the rear."
10075, So they were quite surrounded.
10076," However, Zhang He and Gao Lan managed to force their way out and got away."
10077,"  When the remains of the defenders of the grain stores reached their master's camp, they were mustered."
10078," Seeing the mutilated state of their one time leader, Yuan Shao asked how Chunyu Qiong had come to betray his trust and to suffer thus, and the soldiers told their lord,	The General was intoxicated at the time of the attack."
10079,  So Yuan Shao ordered Chunyu Qiong to be forthwith executed.
10080,"  Guo Tu, fearing lest Zhang He and Gao Lan would return and testify the whole truth, began to intrigue against them."
10081,"  First Guo Tu went to his lord, saying,	Those two, Zhang He and Gao Lan, were certainly very glad when your armies were defeated."
10082,  Why do you say this?
10083,	asked Yuan Shao.
10084,"    O they have long cherished a desire to go over to Cao Cao; so when you sent them on the duty of destroying his camp, they did not do their best and so brought about this disaster."
10085,  Yuan Shao accordingly sent to recall these two to be interrogated as to their faults.
10086," But Guo Tu sent a messenger in advance to warn them, as though in friendly guise, of the adverse fate that awaited them."
10087," So when the orders reached them to return to answer for their faults, Gao Lan asked,	For what reason are we recalled?"
10088,"  Indeed I do not know,	said the messenger."
10089,  Gao Lan drew his sword and killed the messenger.
10090," Zhang He was astonished at this demonstration, but Gao Lan said,	Our lord has allowed some one to malign us and say we have been bought by Cao Cao."
10091, What is the sense in our sitting still and awaiting destruction?
10092, Rather let us surrender to Cao Cao in reality and save our lives.
10093,"  I have been wanting to do this for some time,	replied Zhang He."
10094,"  Wherefore both, with their companies, made their way to Cao Cao's camp to surrender."
10095,"  When they arrived, Xiahou Dun said to his master,	These two have come to surrender, but I have doubts about them."
10096,"  Cao Cao replied,	I will meet them generously and win them over, even if they have treachery in their hearts."
10097,"  The camp gates were opened to the two officers, and they were invited to enter."
10098," They laid down their weapons, removed their armor, and bowed to the ground before Cao Cao, who said,	If Yuan Shao had listened to you, he would not have suffered defeat."
10099, Now you two coming to surrender are like Wei Zi leaving the falling House of Shang to go to Yin and Han Xin leaving Xiang Yu to go over to the rising House of Han.
10100,"  Cao Cao made then Generals and conferred upon Zhang He the title of Lord of Duting and upon Gao Lan Lord of Donglai, which pleased them much."
10101,"  And so as Yuan Shao had formerly driven sway his adviser, Xu You, so now he had alienated two leaders and had lost his stores at Wuchao, and his army was depressed and down−hearted."
10102,"  When Xu You advised Cao Cao to attack Yuan Shao as promptly as he could, the two newly surrendered generals volunteered to lead the way."
10103," So Cao Cao sent Zhang He and Gao Lan to make a first attack on the camp, and they left in the night with three thousand troops."
10104, The fighting went on confusedly all night but stayed at dawn.
10105, Yuan Shao had lost half of his army.
10106,"  Then Xun You suggested a plan to Cao Cao, saying,	Now is the moment to spread a report that an army will go to take Suanzao and attack Yejun, and another to take Liyang and intercept the enemy's retreat."
10107," Yuan Shao, when he hears of this, will be alarmed and tell off his troops to meet this new turn of affairs; and while he is making these new dispositions, we can have him at great disadvantage."
10108,  Cao Cao adopted the suggestion; and care was taken that the report spread far around.
10109," It came to the ears of Yuan Shao's soldiers, and they repeated it in camp."
10110," Yuan Shao believed it and ordered his son Yuan Tan with fifty thousand troops to rescue Yejun, and General Xin Ming with another fifty thousand to go to Liyang, and they marched away at once."
10111," Cao Cao heard that these armies had started, and at once dispatched troops in eight divisions to make a simultaneous attack on the nearly empty camp."
10112, Yuan Shao's troops were too dispirited to fight and gave way on all sides.
10113,  Yuan Shao without waiting to don his armor went forth in simple dress with an ordinary cap upon his head and mounted his steed.
10114," His youngest son, Yuan Shang, followed him."
10115," Four of the enemy generals  Zhang Liao, Xu Chu, Xu Huang, and Yu Jin with their forces pressed in his rear, and Yuan Shao hastened across the river, abandoning all his documents and papers, baggage, treasure, and stores."
10116, Only eight hundred horsemen followed him over the stream.
10117," Cao Cao's troops followed hard but could not come up with him; however, they captured all his impedimenta, and they slew some eighty thousands of his army so that the watercourses ran blood and the drowned corpses could not be counted."
10118," It was a most complete victory for Cao Cao, and he made over all the spoil to the army."
10119,  Among the papers of Yuan Shao was found a bundle of letters showing secret correspondence between him and many persons in the capital and army.
10120,"  Cao Cao's personal staff suggested that the names of those concerned should be abstracted and the persons arrested, but their lord said,	Yuan Shao was so strong that even I could not be sure of safety; how much less other people?"
10121,	So Cao Cao ordered the papers to be burned and nothing more was said.
10122,"  Now when Yuan Shao's soldiers ran away, Ju Shou, being a prisoner, could not get away and was captured."
10123," Taken before Cao Cao, who knew him, Ju Shou cried aloud,	I will not surrender!"
10124,"  Said Cao Cao,	Yuan Shao was foolish and neglected your advice; why still cling to the path of delusion?"
10125," Had I had you to help me, I should have been sure of the empire."
10126,"  Ju Shou was well treated in the camp, but he stole a horse and tried to get away to Yuan Shao."
10127," This angered Cao Cao who recaptured him and put him to death, which he met with brave composure."
10128,"  I have slain a faithful and righteous man,	then said Cao Cao sadly."
10129,  And the victim was honorably buried at Guandu.
10130, His tomb bore the inscription	This is the tomb of Ju Shou the Loyal and Virtuous.
10131,"  Ju Shou was honest and virtuous, The best in Yuan Shao's train, From him the stars no secrets held, In tactics all was plain."
10132, For him no terrors had grim death.
10133,"  Too lofty was his spirit,  His captor slew him, but his tomb Bears witness to his merit."
10134, Cao Cao now gave orders to attack Jizhou.
10135,"  In feeling over confident, that's where one's weakness lay; The other bettered him by plans which never went astray."
10136, The following chapter will tell who won the next campaign.
10137,   CHAPTER 31.
10138, Cao Cao Overcomes Yuan Shao In Cangting; Liu Bei Seeks Shelter With Liu Biao In Jingzhou.
10139," Cao Cao lost no time in taking advantage of Yuan Shao's flight, but smote hard at the retreating army."
10140," Yuan Shao without helmet or proper dress, and with few followers, crossed hastily to the north bank at Liyang."
10141," He was met by one of his generals, Jiang Yiqu, who took him in and comforted him and listened to the tale of misfortunes."
10142," Next Jiang Yiqu called in the scattered remnants of the army, and when the soldiers heard that their old lord was alive they swarmed to him like ants so that Yuan Shao quickly became strong enough to attempt the march to Jizhou."
10143, Soon the army set out and at night halted at Huang Hills.
10144,"  That evening, sitting in his tent, Yuan Shao seemed to hear a far off sound of lamentation."
10145, He crept out quietly to listen and found it was his own soldiers telling each other tales of woe.
10146," This one lamented an elder brother lost, that one grieved for his younger brother abandoned, a third mourned a companion missing, a fourth, a relative cut off."
10147, And each beat his breast and wept.
10148," And all said,	Had he but listened to Tian Feng, we had not met this disaster."
10149,"  And Yuan Shao, very remorseful, said,	I did not hearken unto Tian Feng, and now my soldiers have been beaten and I was nearly lost."
10150, How can I return and look him in the face?
10151,"  Next day the march was resumed, and Yuan Shao met Peng Ji with reinforcements, to whom he said,	I disregarded Tian Feng's advice and have brought myself to defeat."
10152, Now shall I be greatly ashamed to look him in the face.
10153,"  This tribute to Tian Feng's prescience roused the jealousy of Peng Ji, who replied,	Yes; when he heard the news of your defeat, though he was a prisoner, he clapped his hands for joy and said, 'Indeed, just as I foretold!'"
10154,"    How dare he laugh at me, the blockhead?"
10155," Assuredly he shall die,	said Yuan Shao."
10156, Whereupon Yuan Shao wrote a letter and sent therewith a sword to slay the prisoner.
10157," Meanwhile Tian Feng's gaoler came to him one day, saying,	Above all humans I felicitate you."
10158, What is the joyful occasion and why felicitate?
10159,	said Tian Feng.
10160,"  The gaoler replied,	Imperial Protector Yuan Shao has been defeated and is on his way back; he will treat you with redoubled respect."
10161,  Now am I a dead man!
10162,	said Tian Feng.
10163,"  Why say you that, Sir, when all people give you joy?"
10164,"    The Imperial Protector appears liberal, but he is jealous and forgetful of honest advice."
10165," Had he been victorious, he might have pardoned me; now that he has been defeated and put to shame, I may not hope to live."
10166,  But the gaoler did not believe Tian Feng.
10167, Before long came the letter and the sword with the fatal order.
10168," The gaoler was dismayed, but the victim said,	I knew all too well that I should have to die."
10169,  The gaoler wept.
10170," Tian Feng said,	An able person born into this world who does not recognize and serve the right lord is ignorant."
10171," Today I die, but I am not deserving of pity."
10172,  Whereupon he cut his throat in the prison.
10173," Ju Shou but yesterday was killed, Tian Feng ends his life his fate fulfilled;  The North of Yellow River's main beams break one by one, Mourn ye that Yuan House!"
10174, Its day is done.
10175," Thus died Tian Feng, pitied of all who heard of his fate."
10176," When Yuan Shao came home in Jizhou, he was with troubled mind and distorted thoughts."
10177," He could not attend to the business of government and became so ill that his second wife, who came of the Liu family and had replaced the first wife after her death, besought him to make his last dispositions."
10178,"  Now three sons had been born to Yuan Shao: Yuan Tan the eldest, who was commander at Qingzhou; Yuan Xi, who ruled over Youzhou; and Yuan Shang, borne to him by Lady Liu."
10179," This youngest son was very handsome and noble looking, and his father's favorite."
10180, So he was kept at home.
10181,"  After the defeat at Guandu, the lad's mother was constantly urging that her son should be named as successor, and Yuan Shao called together four of his counselors to consider this matter."
10182," These four happened to be divided in their sympathies: Shen Pei and Peng Ji being in favor of the youngest son, and Xin Ping and Guo Tu supporters of the eldest."
10183,"  When they met to consult, Yuan Shao said,	As there is nought but war and trouble outside our borders, it is necessary that tranquillity within be early provided for, and I wish to appoint my successor."
10184," My eldest son is hard and cruel, my second is mild and unfit."
10185," The third has the outward form of a hero, appreciates the wise, and is courteous to his subordinates."
10186," I wish him to succeed, but I wish that you tell me your opinions."
10187,"  Guo Tu said,	Yuan Tan is your first born, and he is in a position of authority beyond your control."
10188," If you pass over the eldest in favor of the youngest, you sow the seeds of turbulence."
10189, The prestige of the army has been somewhat lowered and enemies are on our border.
10190," Should you add to our weakness by making strife between father and son, elder and younger brothers?"
10191, Rather consider how the enemy may be repulsed and turn to the question of the heirship later.
10192,"  Then the natural hesitation of Yuan Shao asserted itself, and he could not make up his mind."
10193," Soon came news that his sons Yuan Tan was coming from Qingzhou with sixty thousand troops, Yuan Xi coming from Youzhou with fifty thousand troops, and his nephew Gao Gan coming from Bingzhou with fifty thousand troops to help him, and he turned his attention to preparations for fighting Cao Cao."
10194,"  When Cao Cao drew up his victorious army on the banks of Yellow River, the aged natives brought an offering of food and sauce to bid him welcome."
10195," Their venerable and hoary appearances led Cao Cao to treat them with the highest respect, and he invited them to be seated and said to them,	Venerable Sirs, what may be your age?"
10196,"    We are nearly a hundred,	replied the old villagers."
10197,"	I should be very sorry if my army had disturbed your village,	said Cao Cao."
10198,"  One of them said,	In the days of the Emperor Huan a yellow star was seen over by way of the ancient states of Chu and Song in the southwest."
10199," Yin Kui of Liaodong, who was learned in astrology, happened to be passing the night here, and he told us that the star foretold the arrival in these parts, fifty years hence, of a true and honest man here in the Yellow River."
10200, Lo!
10201, That is exactly fifty years ago.
10202, Now Yuan Shao is very hard on the people and they hate him.
10203," You, Sir, having raised this army in the cause of humanity and righteousness, out of pity for the people and to punish crimes, and having destroyed the hordes of Yuan Shao at Guandu, just fulfill the prophecy of Yin Kui and the millions of the land may look now for tranquillity."
10204,  How dare I presume that I am he?
10205,	said Cao Cao with a smile.
10206,"  Wine was served and refreshments brought in, and the old gentlemen was sent away with presents of silk stuffs."
10207," And an order was issued to the army that if any one killed so much as a fowl or a dog belonging to the villagers, he should be punished as for murder."
10208, And the soldiers obeyed with fear and trembling while Cao Cao rejoiced in his heart.
10209,  It was told Cao Cao that the total army from the four regions under the Yuan family amounted to two hundred thirty thousand soldiers and they were camped at Cangting.
10210, Cao Cao then advanced nearer them and made a strong camp.
10211,  Next day the two armies were arrayed over against each other.
10212," On one side Cao Cao rode to the front surrounded by his commanders, and on the other appeared Yuan Shao supported by his three sons, his nephew, and his leaders."
10213,"  Cao Cao spoke first,	Yuan Shao, your schemes are poor, your strength is exhausted, why still refuse to think of surrender?"
10214, Are you waiting till the sword shall be upon your neck?
10215, Then it will be too late.
10216,"  Yuan Shao turned to those about him, saying,	Who dares go out?"
10217,"  His son Yuan Shang was anxious to exhibit his prowess in the presence of his father, so he flourished his pair of swords and rode forth."
10218," Cao Cao pointed him out to his officers and asked,	Any one knows him?"
10219,"  He is the youngest son of Yuan Shao,	was the reply."
10220,"  Before they had finished speaking, from their own side rode out Shi Huan, armed with a spear."
10221," The two champions fought a little while and suddenly Yuan Shang whipped up his horse, made a feint and fled."
10222, His opponent followed.
10223," Yuan Shang took his bow, fitted an arrow, turned in his saddle, and shot at Shi Huan, wounding him in the left eye."
10224, He fell from the saddle and died on the spot.
10225,"  Yuan Shao seeing his son thus get the better of his opponent, gave the signal for attack, and the whole army thundered forward."
10226," The onslaught was heavy, but presently the gongs on both sides sounded the retire and the battle ceased."
10227,"  When he had returned to camp, Cao Cao took counsel to find a plan to overcome Yuan Shao."
10228," Then Cheng Yu proposed the plan of the Ten Ambushes and persuaded Cao Cao to retire upon the river, placing troops in ambush as he went."
10229," Thus would Yuan Shao be inveigled into pursuit as far as the river, when Cao Cao's army would be forced to make a desperate stand or be driven into the water."
10230,  Cao Cao accepted this suggestion and told off ten companies of five thousand soldiers each to lie in ten ambush on two sides of the road of retreat.
10231," The arrangement of the ambushes were thus: on the left, first company under Xiahou Dun; second company, Zhang Liao; third company, Li Dian; fourth company, Yue Jin; fifth company, Xiahou Yuan; on the right, first company was under Cao Hong; second company, Zhang He; third company, Xu Huang; fourth company, Yu Jin; fifth company, Gao Lan."
10232, Xu Chu commanded the advanced front.
10233,  Next day the ten companies started first and placed themselves right and left as ordered.
10234," In the night Cao Cao ordered the advanced front to feign an attack on the camp, which roused all the enemy in all their camps."
10235," This done, Xu Chu retreated and Yuan Shao's army came in pursuit."
10236," The roar of battle went on without cessation, and at dawn Cao Cao's army rested on the river and could retreat no farther."
10237,"  Then Cao Cao shouted,	There is no road in front, so all must fight or die."
10238,  The retreating army turned about and advanced vigorously.
10239," Xu Chu simply flew to the front, smote and killed ten generals and threw Yuan Shao's army into confusion."
10240," They tried to turn and march back, but Cao Cao was close behind."
10241," Then the drums of the enemy were heard, and right and left there appeared two ambush companies of Gao Lan and Xiahou Yuan."
10242," Yuan Shao collected about him his three sons and his nephew, and they were enabled to cut an arterial alley out and flee."
10243," Three miles further on they fell into another ambush of Yue Jin and Yu Jin, and here many troops of Yuan Shao were lost so that their corpses lay over the countryside and the blood filled the water courses."
10244, Another three miles and they met the third pair of Li Dian and Xu Huang barring their road.
10245,"  Here they lost heart and bolted for an old camp of their own that was near, and bade their men prepare a meal."
10246," But just as the food was ready to eat, down came Zhang Liao and Zhang He and burst into the camp."
10247,"  Yuan Shao mounted and fled as far as Cangting, when he was tired and his steed spent."
10248," But there was no rest, for Cao Cao came in close pursuit."
10249, It seemed now a race for life.
10250," But presently Yuan Shao found his onward course again blocked by Xiahou Dun and Cao Hong, and he groaned aloud."
10251,"  If we do not make most desperate efforts, we are all captives,	said he."
10252,  And they plunged forward.
10253," His second son Yuan Xi and his nephew Gao Gan were wounded by arrows, and most of his soldiers were dead or had disappeared."
10254, He gathered his sons into his arms and wept bitterly.
10255, Then he fell into a swoon.
10256," He was picked up, but his mouth was full of blood which ran forth in a bright scarlet stream."
10257,"  He sighed, saying,	Many battles have I fought, and little did I think to be driven to this."
10258, Heaven is afflicting me.
10259, You would better return each to his own and swear to fight this Cao Cao to the end.
10260,  Then Yuan Shao bade Xin Ping and Guo Tu as quickly as possible follow Yuan Tan to Qingzhou and prepare to give battle to Cao Cao lest he should invade.
10261, Yuan Xi was told to go to Youzhou and Gao Gan to  Bingzhou.
10262,  So each started to prepare armies and horses for repulsing Cao Cao.
10263," Yuan Shao with his youngest son Yuan Shang and the remnant of his officers went away to Jizhou, and military operations were suspended for a time."
10264,"  Meanwhile Cao Cao was distributing rewards to his army for the late victory, and his spies were scouting all about Jizhou."
10265," He soon learned that Yuan Shao was ill, and that the youngest son Yuan Shang and Shen Pei were in command of the city, while his brothers and cousin had returned each to his own."
10266, Cao Cao's advisers were in favor of a speedy attack.
10267," But he objected, saying,	Jizhou is large and well supplied; Shen Pei is an able strategist and it behooves me to be careful."
10268, I would rather wait till the autumn when the crops have been gathered in so that the people will not suffer.
10269,"  While the attack was being talked over there came letters from Xun Yu:    Liu Bei was strengthening himself at Runan with the force of Liu Pi and Gong Du and, when he heard that you was  attacking Jizhou, he said he would take the opportunity to march on the capital."
10270," Wherefore you, Sir, should hasten homeward to defend Xuchang."
10271,  This news disconcerted Cao Cao.
10272," He left Cao Hong in command on the river bank, with orders to maintain the appearance of strength there, while he led the main part of his army to meet the threatened attack from Runan."
10273,"  Meanwhile Liu Bei, his brothers, and the leaders, having gone forth with the intention of attacking the capital, had reached a point near the Rang Mountains when Cao Cao came upon them."
10274," So Liu Bei camped by the hills and divided his army into three, sending Guan Yu and Zhang Fei with ten thousand troops each to entrench themselves southeast and southwest respectively of the main body, which he and Zhao Yun commanded."
10275,"  When Cao Cao came near, Liu Bei beat his drums and went out to where Cao Cao had already arrayed his army."
10276,"  Cao Cao called Liu Bei to a parley, and when the latter appeared under his great standard, Cao Cao pointed his whip at him and railed, saying,	I treated you as a guest of the highest consideration; why then do you turn your back on righteousness and forget kindness?"
10277,"  Liu Bei replied,	Under the name of Prime Minister you are really a rebel."
10278," I am a direct descendant of the family, and I have a secret decree from the Throne to take such offenders as you."
10279,"  As he said these words, he produced and recited the decree which is known as the	Girdle Mandate."
10280,"  Cao Cao grew very angry and ordered Xu Chu to go out to battle; and, as Liu Bei's champion, out rode Zhao Yun with spear ready to thrust."
10281, The two warriors exchanged thirty bouts without advantage to either.
10282," Then there arose an earth−rending shout and up came the two brothers, Guan Yu from the southeast and Zhang Fei from the southwest."
10283," The three armies then began a great attack, which proved too much for Cao Cao's troops, fatigued by a long march, and they were worsted and fled."
10284, Liu Bei having scored this victory returned to camp.
10285,"  Next day he sent out Zhao Yun again to challenge the enemy, but it was not accepted and Cao Cao's army remained ten days without movement."
10286, Then Zhang Fei offered a challenge which also was not accepted.
10287, And Liu Bei began to feel anxious.
10288,"  Then unexpectedly came news that the enemy had stopped a train of supplies brought by Gong Du, and at once Zhang Fei went to the rescue."
10289," Worse still was the news that followed, that an army led by Xiahou Dun had got in behind to attack Runan."
10290,"  Quite dismayed, Liu Bei said,	If this be true, I have enemies in front and rear and have no place to go."
10291,  He then sent Guan Yu to try to recover the city and thus both his brothers were absent from his side.
10292," One day later a horseman rode up to say that Runan had fallen, its defender Liu Pi had fled, and Guan Yu was surrounded."
10293," To make the matters worse, the news came that Zhang Fei, who had gone to rescue Gong Du, was in like case."
10294,"  Liu Bei tried to withdraw his troops, fearing all the time an attack from Cao Cao."
10295," Suddenly the sentinels came in, saying:	Xu Chu is at the camp gate offering a challenge."
10296,  Liu Bei did not allow his army to go out.
10297," They waited till dawn, and then Liu Bei bade the soldiers get a good meal and be ready to start."
10298," When ready the foot went out first, the horsemen next, leaving a few troops in the camp to beat the watches and maintain an appearance of occupation."
10299,"  After traveling a some miles, they passed some mounds."
10300," Suddenly torches blazed out, and on the summit stood one who shouted,	Do not let Liu Bei run away; I, the Prime Minister, am here awaiting you."
10301,  Liu Bei dashed along the first clear road he saw.
10302," Zhao Yun said,	Fear not, my lord, only follow me!"
10303," And setting his spear, Zhao Yun galloped in front opening an arterial alley as he went."
10304, Liu Bei gripped his double swords and followed close.
10305," As they were winning through, Xu Chu came in pursuit and engaged Zhao Yun, and two other companies led by Yu Jin and Li Dian bore down as well."
10306," Seeing the situation so desperate, Liu Bei plunged into the wilds and fled."
10307," Gradually the sounds of battle became fainter and died away while he went deeper and deeper into the hills, a single horseman fleeing for his life."
10308," He kept on his way till daybreak, when a company suddenly appeared beside the road."
10309," Liu Bei saw these men with terror at first, but was presently relieved to find they were led by the friendly Liu Pi."
10310, They were a company of his defeated army escorting the family of their chief.
10311," With them also were Sun Qian, Jian Yong, and Mi Fang."
10312,"  They told him,	The attack on us was too strong to be resisted, and so we were compelled to abandon the defense, and the enemy followed, and only Guan Yu's timely arrival saved us from destruction."
10313,"  I do not know where my brother is,	said Liu Bei."
10314," All will come right if you will push on,	said Liu Pi."
10315, They pushed on.
10316," Before they had gone far, the beating of drums was heard and suddenly appeared Zhang He with a thousand soldiers."
10317," He cried,	Liu Bei, quickly dismount and surrender!"
10318,  Liu Bei was about to retire when he saw a red flag waving from a rampart on the hills and down came rushing another body of troops under Gao Lan.
10319," Thus checked in front and his retreat cut off, Liu Bei looked up to Heaven and cried,	O Heaven, why am I brought to this state of misery?"
10320, Nothing is left me now but death.
10321,  And he drew his sword to slay himself.
10322,"  But Liu Pi stayed his hand, saying,	Let me try to fight a way out and save you."
10323, Death is nothing to me.
10324,  As he spoke Gao Lan's force was on the point of engaging his.
10325, The two leaders met and in the third bout Liu Pi was cut down.
10326," Liu Bei at once rushed up to fight, but just then there was sudden confusion in the rear ranks of the opponents, and a warrior dashed up and thrust at Gao Lan with his spear."
10327, Gao Lan fell from his steed.
10328, The newcomer was Zhao Yun.
10329,  His arrival was most opportune.
10330," He urged forward his steed thrusting right and left, and the enemy's ranks broke and scattered."
10331," Then the first force under Zhang He came into the fight, and the leader and Zhao Yun fought thirty or more bouts."
10332," However, this proved enough, for Zhang He turned his horse away recognizing that he was worsted."
10333," Zhao Yun vigorously attacked, but was forced into a narrow space in the hills where he was hemmed in."
10334," While seeking for some outlet, they saw Guan Yu, Guan Ping, and Zhou Cang, with three hundred men, coming along."
10335," Soon Zhang He was driven off, and then Liu Bei's troops came out of the narrow defile and occupied a strong position among the hills where they made a camp."
10336,  Liu Bei sent Guan Yu for news of the missing brother.
10337," Zhang Fei had been attacked by Xiahou Yuan who had killed Gong Du, but had vigorously resisted, beaten him off, and followed him up."
10338, Then Yue Jin had come along and surrounded Zhang Fei.
10339,"  In this pass he was found by Guan Yu, who had heard of his plight from some of his scattered soldiers met on the way."
10340, Now they drove off the enemy.
10341, The two brothers returned.
10342, Soon they heard of the approach of a large body of Cao Cao's army.
10343," Liu Bei then bade Sun Qian guard his family and sent him on ahead, while he and the others kept off the enemy, sometimes giving battle and anon marching."
10344," Seeing that Liu Bei had retired too far, Cao Cao let him go and left the pursuit."
10345,"  When Liu Bei collected his army, he found they numbered only a thousand, and this halting and broken force marched as fast as possible to the west."
10346," Coming to a river they asked the natives its name and were told it was the Han River, and near it Liu Bei made a temporary camp."
10347," When the local people found out who was in the camp, they presented flesh and wine."
10348,  A feast was given upon a sandy bank of the Han River.
10349," After they had drunk awhile, Liu Bei addressed his faithful followers, saying,	All you, Fair Sirs, have talents fitting you to be advisers to a monarch, but your destiny has led you to follow poor me."
10350, My fate is distressful and full of misery.
10351," Today I have not a spot to call my own, and I am indeed leading you astray."
10352, Therefore I say you should abandon me and go to some illustrious lord where you may be able to become famous.
10353,  At these words they all covered their faces and wept.
10354,"  Guan Yu said,	Brother, you are wrong to speak thus."
10355," When the great Founder of Han contended with Xiang Yu, he was defeated many times, but he won at the Nine−Mile Mountains and that achievement was the foundation of a dynasty that endured for four centuries."
10356," Victory and defeat are but ordinary events in a soldier's career, and why should you give up?"
10357,"    Success and failure both have their seasons,	said Sun Qian,	and we are not to grieve."
10358," Jingzhou, which your illustrious relative, Liu Biao, commands, is a rich and prosperous country."
10359," Liu Biao is of your house, why not go to him?"
10360,"  Only that I fear he may not receive me,	said Liu Bei."
10361,  Then let me go and prepare the way.
10362, I will make Liu Biao come out to his borders to welcome you.
10363,"  So with his lord's approval, Sun Qian set off immediately and hastened to Jingzhou."
10364," When the ceremonies of greeting were over, Liu Biao asked the reason of the visit."
10365,"  Said Sun Qian,	The princely Liu Bei is one of the heroes of the day, although just at the moment he may lack soldiers and leaders."
10366," His mind is set upon restoring the dynasty to its pristine glory, and at Runan the two commanders, Liu Pi and Gong Du, though bound to him by no ties, were content to die for the sake of his ideals."
10367," You, Illustrious Sir, like Liu Bei, are a scion of the imperial stock."
10368, Now the Princely One has recently suffered defeat and thinks of seeking a home in the east with Sun Quan.
10369," I have ventured to dissuade him, saying that he should not turn from a relative and go to a mere acquaintance; telling him that you, Sir, are well known as courteous to the wise and condescending to scholars, so that they flock to you as the waters flow to the east sea, and that certainly you would show kindness to one of the same ancestry."
10370, Wherefore he has sent me to explain matters and request your commands.
10371,"    He is my brother,	said Liu Biao,	and I have long desired to see him, but no opportunity has occurred."
10372, I should be very happy if he would come.
10373,"  Cai Mao, who was sitting by, here broke in,	No, no!"
10374," Liu Bei first followed Lu Bu, then he served Cao Cao, and next he joined himself to Yuan Shao."
10375," And he stayed with none of these, so that you can see what manner of man he is."
10376," If he comes here, Cao Cao will assuredly come against us and fight."
10377," Better cut off this messenger's head and send it as an offering to Cao Cao, who would reward you well for the service."
10378,"  Sun Qian sat unmoved while this harangue was pronounced, saying at the end,	I am not afraid of death."
10379," Liu Bei, the Princely One, is true and loyal to the state and so out of sympathy with Lu Bu, or Cao Cao, or Yuan Shao."
10380," It is true he followed these three, but there was no help for it."
10381," Now he knows your chief is a member of the family, so that both are of the same ancestry, and that is why he has come far to join him."
10382, How can you slander a good man like that?
10383,"  Liu Biao bade Cai Mao be silent and said,	I have decided, and you need say no more."
10384, Whereat Cai Mao sulkily left the audience chamber.
10385," Then Sun Qian was told to return with the news that Liu Bei would be welcome, and Imperial Protector Liu Biao went ten miles beyond the city to meet his guest."
10386," When Liu Bei arrived, he behaved to his host with the utmost politeness and was warmly welcomed in return."
10387, Then Liu Bei introduced his two sworn brothers and friends and they entered Jingzhou City where Liu Bei finally was lodged in the Imperial Protector's own residence.
10388,"  As soon as Cao Cao knew whither his enemy had gone, he wished to attack Liu Biao, but Cheng Yu advised against any attempt so long as Yuan Shao, the dangerous enemy, was left with power to inflict damage."
10389,"  He said,	My lord should return to the capital to refresh the soldiers so that they may be ready for a north and south campaign in the mild spring weather."
10390,  Cao Cao accepted his advice and set out for the capital.
10391," In the first month of the eighth year of Rebuilt Tranquillity (AD 203), Cao Cao once again began to think of war, and sent to garrison Runan as a precaution against Liu Biao."
10392," Then, after arranging for the safety of the capital, he marched a large army to Guandu, the camp of the year before, and aimed at Jizhou."
10393,"  As to Yuan Shao, who had been suffering from blood−spitting but was now in better health, he began to think of measures against Xuchang, but Shen Pei dissuaded him, saying,	You are not yet recovered from the fatigues of last year."
10394, It would be better to make your position impregnable and set to improving the army.
10395,"  When the news of Cao Cao's approach arrived, Yuan Shao said,	If we allow the foe to get close to the city before we march to the river, we shall have missed our opportunity; I must go out to repel this army."
10396,"  Here his son Yuan Shang interposed,	Father, you are not sufficiently recovered for a campaign and should not go so far."
10397, Let me lead the army against this enemy.
10398,"	Yuan Shao consented, and he sent to Qingzhou and Youzhou and Bingzhou to call upon his other two sons and his nephew to attack Cao Cao at the same time as his own army."
10399,"  Against Runan they beat the drum, And from Jizhou the armies come."
10400, To whom the victory will be seen in the next chapter.
10401,    CHAPTER 32.
10402, Jizhou Taken: Yuan Shang Strives; River Zhang Cut: Xun You Schemes.
